Permit type,Checklist Name
Confined Space,"Standby Personnel/Entry supervisor,. is available."
Confined Space,Oxygen level is measured and find( 19.5% - 23.5% is available)
Confined Space,Air hose draft provided.
Confined Space,Hand lamp 24 volt provided.
Confined Space,"Fire control: water hose, extinguisher, fire staff arranged."
Confined Space,"Approach to inside work place: rope ladder, cage etc. provided"
Confined Space,Emergency exit provided.
Confined Space,"Protective appliances: safety belt, helmet, gloves, breathing mask etc. provided."
Excavation,Underground utilities identified
Excavation,Power equipment grounded
Excavation,Electrical or mechanical overhead clearances checked
Excavation,"Hard / Soft Barricades, area warning placed"
Excavation,Means of egress (ladder or steps) placed
Excavation,Side walls shored or laid back
Excavation,Area adequately illuminated
Excavation,Material or soil removed from excavation edge
Excavation,Excavator is fit for the job
Excavation,Banksman provided to guide the operator
Excavation,Method of dewatering is established and ensured the stoppage of water return
Excavation,"Excavated pit edges free from heavy over-burden, stack of materials"
Excavation,People are prevented from working inside pits if heavy vehicle movement in the vicinity due to which soil collapse may take place.
Excavation,Job Hazards is explained to all concern thru tool box talk meeting.
Excavation,Excavation to be done making angle of soil walls
Excavation,Additional measures
Excavation,Picket (Kudali) / spade & other excavation tools with wooden handles will be used as far as possible.
Excavation,"In case, tools with metallic handles are used, leather hand gloves will be worn"
Excavation,Gum boots will be worn by the persons doing excavation work.
Excavation,Exposed cables are suitably protected.
Excavation,"Reverse horn/ Warning hooter provided on Excavators, JCB, Dumpers"
Material Lowering & Lifting,Safety devices of the lifting appliances are inspected before use
Material Lowering & Lifting,Operator qualified and medically fit including eye sight examined by authority
Material Lowering & Lifting,Lifting appliances are certified by competent authority and labeled properly
Material Lowering & Lifting,Hoist chain or hoist rope free of kinks or twists and not wrapped around the load.
Material Lowering & Lifting,Lifting Hook has a Safety Hook Latch that will prevent the rope from slipping out.
Material Lowering & Lifting,Lifting gears operator been instructed not to leave the load suspended
Material Lowering & Lifting,Electrical power line clearance (12ft) checked
Material Lowering & Lifting,Signal man identified
Material Lowering & Lifting,"Outriggers supported, Crane leveled"
Material Lowering & Lifting,SLI/ Load chart available in the crane
Material Lowering & Lifting,Barrier Installed
Material Lowering & Lifting,Riggers are competent
Material Lowering & Lifting,"Slings are inspected for free from cut marks, pressing, denting, bird caging, twist, kinks or core protrusion prior to use."
Material Lowering & Lifting,Slings mechanically spliced (Hand spliced slings not allowed)
Material Lowering & Lifting,"D / Bow shackles are free from any crack, dent, distortion or weld mark, wear / tear"
Material Lowering & Lifting,Special lift as per erection / lift plan available (if erection above 3 ton)
Material Lowering & Lifting,Job Hazards is explained to all concern thru tool box talk meeting
Material Lowering & Lifting,Guide rope is provided while shifting / lifting/lowering the load.
Material Lowering & Lifting,Daily inspection checklist followed and maintained for crane
Material Lowering & Lifting,SWL displayed
Material Lowering & Lifting,Wind velocity < 36 KMPH
Material Lowering & Lifting,No rain
Scaffolding Erection & Dismantling,"Presence of competent person assigned to ensure safe erection, maintenance, or modification of scaffolds. Name"
Scaffolding Erection & Dismantling,Type of the Scaffold to be erect/ dismentle: Light Medium Heavy
Scaffolding Erection & Dismantling,Base Plates are available
Scaffolding Erection & Dismantling,Sole Plates are available
Scaffolding Erection & Dismantling,Aluminium Ladder available for ascending and descending
Scaffolding Erection & Dismantling,Job Hazards is explained to all concern thru tool box talk meeting
Scaffolding Erection & Dismantling,Scaffolds provided with proper access and egress
Scaffolding Erection & Dismantling,Standard guardrail been used
Scaffolding Erection & Dismantling,"Platforms, walkways on scaffolds are wide of minimum of 900 mm wherever possible"
Scaffolding Erection & Dismantling,Precautions taken to ensure scaffolds are not overloaded
Scaffolding Erection & Dismantling,Overhead protection provided where there is exposure
Scaffolding Erection & Dismantling,No opening / Gap in the platform / walkway.
Scaffolding Erection & Dismantling,Job Hazards is explained to all concern thru tool box talk meeting
Scaffolding Erection & Dismantling,"All pipes, clamps, H-frames, couplers, boards checked before assembly"
Scaffolding Erection & Dismantling,All component of the scaffold more than 12\    away from any exposed power lines
